date,MST_method1_degree_weighted,MST_method1_market_cap_same_X,MST_method2_degree_weighted,MST_method2_market_cap_same_X,MST_method3_degree_weighted,MST_method3_market_cap_same_X,MST_method4_degree_weighted,MST_method4_market_cap_same_X,Top_market_cap_weighted
2024-01-12,168549.60796277827,167617.59141548388,172960.08745334466,174734.00999285336,179247.42967781427,156192.00489753814,170478.28503547222,169770.70905193264,124090.75153435532
2024-01-15,168532.491496294,167204.0598492013,173249.7562521383,175017.55114815495,179704.22164438755,156485.7274990333,170279.5236065947,168953.77288641478,123472.04674246654
2024-01-16,167687.43885372992,166360.66210800147,172641.11807255918,174470.5472449416,179309.33619479137,156375.52584582454,169365.41727883057,168255.47437848875,123542.23374632279
2024-01-17,166329.62116847967,164923.75090969834,171617.81040490995,173265.7473857227,178265.7489836159,155894.546020328,168096.9361407148,167256.77134754407,122368.37325516834
2024-01-18,167387.72334898516,165955.50242297986,172720.88912074122,174150.32140997914,179277.16009547573,157048.24396782744,169346.15631466729,168755.38277402468,123581.51866654694
2024-01-19,167352.84483486338,165845.5770692723,172727.97353702478,174420.34058875384,179082.27996982343,156869.84827068602,169225.17143445267,168292.28300696067,123310.9112237265
2024-01-22,167923.18751765887,165972.40199465217,173555.30075766591,174564.87314140188,180502.0609239426,157913.9331713498,169979.63615323548,168968.9726723025,123251.47672019765
2024-01-23,167063.73134736484,165226.9679864339,172784.04070551528,173891.50218446276,179664.124719841,157539.90923831452,169031.79859138813,168279.9510253223,122792.75018991873
2024-01-24,168839.15622298903,166170.20047729072,174901.40888583055,175187.51575166537,181767.05062876333,159408.1885763332,170864.1920820304,169730.61449843884,123789.67195644075
2024-01-25,168973.0262768989,165493.07244264812,175255.71922130958,174650.69724188052,181775.58766108766,158545.87704485568,171034.70385907288,169063.46819543067,122940.43848848877
2024-01-26,171648.93807033802,166721.5930432436,178253.03825770665,176091.35930615215,185178.21625658913,160624.92012614146,174249.92125369105,170943.43497582283,123385.87939037898
2024-01-29,169954.87288038182,165693.1663641162,176319.38912147487,174796.35760339478,183180.3183490124,159335.69608530632,172654.92107527962,170009.36155042046,123195.32613328793
2024-01-30,171968.2904436594,168623.07655395675,178207.88201543735,176826.48539588912,184839.34213529568,161559.05968067012,174708.0216302059,173741.9462918482,124968.95958048715
2024-01-31,172704.14901969425,169767.54950245682,178721.02057004126,177682.00631935638,185639.42309287144,161858.50106531143,175174.7571861212,174560.07201554277,125468.51673049362
2024-02-01,170958.36382829878,168222.40046156084,176947.78987563995,174929.05043212135,184167.44941121063,160006.08986295483,173702.8984744518,173648.86404357562,125995.7278850627
2024-02-02,171632.31046418098,169256.72077859036,177479.7216381041,175123.97642728986,184842.74342171708,160441.25348522956,174429.88070528858,175230.8304710385,125938.08863013716
2024-02-05,171887.57482322186,169303.8628782107,177832.0747305089,175595.5724888886,184776.36711721605,161428.97588045226,174682.7640203151,175716.16808826558,126806.37880071194
2024-02-06,172018.4548358911,170096.86187281384,177674.58782551455,175747.95249858638,184772.98663338073,162037.0489243846,174359.64088119066,177198.2960599842,127615.72968600188
2024-02-07,170333.0053517951,169085.85757317956,175773.15754204727,173830.2633694053,183178.6494094091,160123.69528657765,172442.80791612886,176253.9288630508,127003.20993132188
2024-02-08,170223.98564660538,169277.88143859355,175449.58652566303,172926.3137259305,182985.91454032616,159765.20875977274,172505.13173049444,177206.74956680264,127509.88870681541
2024-02-09,169766.6033536431,168869.4541198278,175041.77104603572,171560.22081498956,182624.38833500797,158894.86628491644,172236.94551632338,177299.52253439632,127914.73481474999
2024-02-12,171823.66960571357,170526.88892391848,177268.63405055978,173375.11121139588,184890.72901038936,160823.92092977717,174328.9236554247,179117.30523144282,129017.18722297093
2024-02-13,170374.65692939254,169229.06371343666,175450.2744471084,172207.7720638975,183195.0774805909,159769.506709876,172663.102380963,177625.7668549399,127787.64702471034
2024-02-14,171995.51378860115,170287.548197302,177526.64430286517,173202.3022085224,184967.87106988108,160608.18053552,174481.0718515884,178767.20454696118,128357.69788139735
2024-02-15,173452.74143009548,173459.9864822958,177895.00160329576,174155.01719156944,185749.42026743852,161785.4074727238,175761.2569746138,183065.71785334585,130128.35809972284
2024-02-16,173482.51161076696,173168.42253676686,178206.12221090624,174044.4071388867,189889.49580382166,163117.3210470486,176109.5931673211,183115.7468446799,129919.96149462738
2024-02-19,173768.82588321454,172956.6984667218,178309.6679872462,174123.27241876614,190278.45912224994,163533.55837650585,176503.19526005752,182989.3749844539,129514.4151359456
2024-02-20,174217.3151272354,173160.18408752882,178795.03971644683,174935.15833189976,191319.5126006224,164304.48584046107,176955.6494208311,182925.0140032258,129442.45767508473
2024-02-21,175605.99924844422,174682.6379661221,180273.1887538929,176620.6195109631,192747.0442569022,165753.20762999423,178305.40873171826,184468.0426587908,130848.23642751636
2024-02-22,176496.7567293033,176393.9046116768,180926.6601677201,177176.01759467635,193716.31125252025,166657.50488487922,179148.96043190893,186987.53912038158,132714.45629821025
2024-02-23,178050.49179067992,178667.55226058085,182421.69607327876,179266.61065610696,195199.4372933139,168845.70023564118,180712.2480725888,189802.4023120144,134147.65137158663
2024-02-26,177155.8487685424,177452.20755114072,181870.0708873194,178414.20398271695,194600.22695615634,168617.44579453988,179896.74681682594,188839.33457452798,133497.85901027735
2024-02-27,177959.2726225638,177850.99007135932,182386.48071985197,179075.86760264813,195104.6013731292,168811.93291187982,180538.12290051987,188807.05797731443,134382.02411411164
2024-02-28,177644.40881071848,177402.6193269656,181990.9760020537,178176.91430604862,194814.93242281335,168531.20767388467,180437.92416413463,189036.9012618227,134138.1621452449
2024-02-29,179060.93314480543,177850.8841316754,183333.60967621402,179379.26078631854,196366.70502738268,169696.93333987062,181933.1339516271,189341.64121376027,133560.6963945717
2024-03-01,181615.50720750773,179895.7065405577,185412.9329171343,181340.4496059052,198452.33269565104,172124.26881764346,184300.077948707,191962.0854384623,134918.26679409965
2024-03-04,181389.339479598,180170.39087485257,185393.3219935951,181278.52416510505,198407.18537106758,171853.18801735344,183984.85729488425,192217.53226500313,134581.07283829246
2024-03-05,183043.85631317584,182221.63041125497,186974.05256074094,183759.0784663169,199753.80412840692,173615.57361227192,185336.20175565148,193881.34832118155,135776.2065454755
2024-03-06,184570.98320908548,183924.10647082503,188401.23298458598,185351.1017763598,201068.49177238328,174989.452365508,186822.52259762454,195639.70680717836,136733.27193747155
2024-03-07,184947.7684059365,184366.6780956879,187442.1843605621,185293.0507793506,200000.32191719403,174487.6451606961,187064.44237341016,195879.3571830208,137459.5284706586
2024-03-08,185562.10179617844,184614.50716030627,187233.54411230763,185652.26179352065,200106.09855679033,175217.42466282955,187857.93898067853,196321.73722576431,137326.7421040592
2024-03-11,185583.74661471433,185014.64196074687,186765.48047020755,185680.06466695847,199851.4618320292,174934.53419666842,187544.522999958,196470.37880351036,137084.56934231622
2024-03-12,187543.54569072506,187181.65024900914,188762.25803120804,187402.20737671072,201219.69818904868,176920.85270967006,189493.59274687525,199410.09299315352,139007.13740350262
2024-03-13,188485.54558391773,187800.1438393188,190432.6776675657,189142.55100646138,202496.44085161848,178353.74213503563,190252.87227379275,199553.9767483253,139506.84188400584
2024-03-14,188299.6734170987,187144.1767554589,190205.8864386577,188422.8023030393,202792.69660601774,178415.0395341305,190293.39818601467,199414.1515188073,138606.1823049314
2024-03-15,189552.93544382846,189111.62866133987,191263.29547100514,189378.70911240627,202979.780703065,179131.53585767234,191416.0992966076,202132.8059309202,139399.2963782401
2024-03-18,188859.65883837087,188856.9700018507,190229.72881892664,188709.76228216646,201832.20452906418,178808.1364136957,190678.3042365518,202260.73878813096,139630.43318747327
2024-03-19,190254.83182394173,190627.2353801614,191423.9330648596,189897.12592240117,203102.61647415886,180340.6195267447,191952.57261257683,204616.10224450755,141082.95825405882
2024-03-20,188996.5670636154,190400.5610470107,190390.68899941514,189437.7096997916,202199.29302177165,179664.4692718566,190607.96114899757,204053.77636409705,141061.51766257331
2024-03-21,189444.03573522184,191140.13676346905,191052.18553139022,189823.47078128692,202738.74267722934,180335.64754443456,191095.14732703252,205286.6864062867,141563.21620393326
2024-03-22,189803.87982171003,191332.4267980178,191253.38644655255,190010.60420261853,203025.41204230933,180556.96136014373,191571.67015081894,205494.25718961383,141545.21476418967
2024-03-25,190767.72383095356,192336.60098789545,192193.41949159926,190810.55763120783,204139.12286790495,181817.92798987596,192638.0811741886,206980.3687647115,142649.83061745137
2024-03-26,190850.5164220805,191774.01439500842,192526.1534564399,191493.7783002357,204151.4941751095,182366.30487919456,192832.2282205306,206008.31455280993,142545.45819989007
2024-03-27,191538.62679651502,192815.3406566182,193224.43792316157,192653.94338649837,204802.33548156195,182897.34654609446,193570.42811958157,206738.10230643064,143163.40374056718
2024-03-28,191517.19430730672,191939.74958276417,193479.50387258557,192349.8275587106,205025.53676533914,182974.5085234214,193854.88837547996,205996.3661397453,142843.55209986694
2024-04-02,188567.80885169786,188536.271346778,190146.74561205012,189850.22320051014,202467.57414328944,181508.85588127843,190891.7646639136,202518.51087037323,141017.44611250536
